tracking_id,service_type,status,hub_arrival_timestamp,sla_deadline,is_priority
TRK-2139410001,Next Day,In Hub,2026-09-15 14:20:13,2026-09-15 18:20:13,false
TRK-2139430002,Next Day,In Hub,2026-09-15 08:20:13,2026-09-15 18:20:13,false
TRK-2139430003,Next Day,In Hub,2026-09-15 01:20:13,2026-09-15 19:20:13,false
TRK-2139430004,Regular,In Hub,2026-09-16 00:20:13,2026-09-15 12:20:13,false
TRK-2139430005,Next Day,In Hub,2026-09-15 04:20:13,2026-09-16 02:20:13,false
TRK-2139430006,Next Day,In Hub,2026-09-15 22:20:13,2026-09-16 04:20:13,false
TRK-2139430007,Regular,In Hub,2026-09-15 19:20:13,2026-09-16 01:20:13,false
TRK-2139430008,Same Day,In Hub,2026-09-15 01:20:13,2026-09-16 01:20:13,false
TRK-2139430009,Regular,In Hub,2026-09-15 12:20:13,2026-09-15 21:20:13,false
TRK-2139430010,Same Day,In Hub,2026-09-15 19:20:13,2026-09-16 04:20:13,false
TRK-2139430011,Next Day,In Hub,2026-09-15 16:20:13,2026-09-16 06:20:13,false
TRK-2139430012,Regular,In Hub,2026-09-16 02:20:13,2026-09-15 07:20:13,false
TRK-2139430013,Next Day,In Hub,2026-09-16 01:20:13,2026-09-15 12:20:13,false
TRK-2139430014,Next Day,In Hub,2026-09-15 19:20:13,2026-09-15 12:20:13,false
TRK-2139430015,Regular,In Hub,2026-09-15 16:20:13,2026-09-16 03:20:13,false
TRK-2139430016,Same Day,In Hub,2026-09-15 20:20:13,2026-09-16 04:20:13,false
TRK-2139430017,Next Day,In Hub,2026-09-15 00:20:13,2026-09-15 21:20:13,false
TRK-2139430018,Next Day,In Hub,2026-09-16 06:20:13,2026-09-15 16:20:13,false
TRK-2139430019,Regular,In Hub,2026-09-15 18:20:13,2026-09-15 16:20:13,false
TRK-2139430020,Same Day,In Hub,2026-09-15 16:20:13,2026-09-15 08:20:13,false
TRK-2139430021,Next Day,In Hub,2026-09-15 11:20:13,2026-09-15 09:20:13,false
TRK-2139430022,Regular,In Hub,2026-09-15 04:20:13,2026-09-15 17:20:13,false
TRK-2139430023,Regular,In Hub,2026-09-16 03:20:13,2026-09-15 09:20:13,false
TRK-2139430024,Regular,In Hub,2026-09-15 07:20:13,2026-09-16 02:20:13,false
TRK-2139430025,Same Day,In Hub,2026-09-15 05:20:13,2026-09-16 01:20:13,false
TRK-2139430026,Next Day,In Hub,2026-09-15 00:20:13,2026-09-16 00:20:13,false
TRK-2139430027,Same Day,In Hub,2026-09-15 12:20:13,2026-09-16 03:20:13,false
TRK-2139430028,Same Day,In Hub,2026-09-16 01:20:13,2026-09-15 14:20:13,false
TRK-2139430029,Regular,In Hub,2026-09-15 18:20:13,2026-09-16 05:20:13,false
TRK-2139430030,Regular,In Hub,2026-09-15 15:20:13,2026-09-15 19:20:13,false
TRK-2139430031,Regular,In Hub,2026-09-15 14:20:13,2026-09-15 11:20:13,false
TRK-2139430032,Next Day,In Hub,2026-09-15 09:20:13,2026-09-15 23:20:13,false
TRK-2139430033,Next Day,In Hub,2026-09-15 11:20:13,2026-09-16 06:20:13,false
TRK-2139430034,Same Day,In Hub,2026-09-15 22:20:13,2026-09-16 05:20:13,false
TRK-2139430035,Same Day,In Hub,2026-09-16 03:20:13,2026-09-15 10:20:13,false
TRK-2139430036,Regular,In Hub,2026-09-15 06:20:13,2026-09-16 02:20:13,false
TRK-2139430037,Same Day,In Hub,2026-09-16 06:20:13,2026-09-15 13:20:13,false
TRK-2139430038,Same Day,In Hub,2026-09-15 22:20:13,2026-09-15 09:20:13,false
TRK-2139430039,Next Day,In Hub,2026-09-15 03:20:13,2026-09-15 23:20:13,false
TRK-2139430040,Same Day,In Hub,2026-09-15 10:20:13,2026-09-16 05:20:13,false
TRK-2139430041,Same Day,In Hub,2026-09-15 01:20:13,2026-09-15 21:20:13,false
